Player,POS,Total FPTS,Avg FPTS
"Josh Allen QB • BUF",QB,298,17.53
"Jalen Hurts QB • PHI",QB,267,15.71
"Dak Prescott QB • DAL",QB,250,14.71
"Jordan Love QB • GB",QB,232,13.65
"Brock Purdy QB • SF",QB,228,14.25
"Jared Goff QB • DET",QB,221,13.00
"Lamar Jackson QB • BAL",QB,219,13.69
"Tua Tagovailoa QB • ATL",QB,211,12.41
"Christian McCaffrey RB • SF",RB,204,12.75
"Baker Mayfield QB • TB",QB,203,11.94
"Trevor Lawrence QB • JAC",QB,196,12.25
"C.J. Stroud QB • HOU",QB,196,13.07
"Patrick Mahomes QB • KC",QB,194,12.12
"Russell Wilson QB • NYG",QB,189,12.60
"Sam Howell QB • DAL",QB,189,11.12
"Derek Carr QB • NO",QB,172,10.12
"Matthew Stafford QB • LAR",QB,171,11.40
"Brandon Aubrey K • DAL",K,167,9.82
"Raheem Mostert RB • LV",RB,164,10.93
"Tyreek Hill WR • MIA",WR,163,10.19
"CeeDee Lamb WR • DAL",WR,161,9.47
"Justin Herbert QB • LAC",QB,157,12.08
"Geno Smith QB • NYJ",QB,155,10.33
"Justin Fields QB • KC",QB,149,11.46
"Justin Tucker K • BAL",K,148,8.71
"Gardner Minshew QB • ARI",QB,144,8.47
"Kyren Williams RB • LAR",RB,144,12.00
"Cairo Santos K • CHI",K,143,8.41
"Jake Elliott K • PHI",K,142,8.35
"Harrison Butker K • KC",K,142,8.35
"Matt Gay K • LV",K,142,8.35
"Jason Myers K • SEA",K,142,8.35
"Joshua Dobbs QB • NE",QB,141,10.85
"Blake Grupe K • IND",K,136,8.00
"Cameron Dicker K • LAC",K,135,7.94
"Jason Sanders K • NYJ",K,135,7.94
"Desmond Ridder QB • GB",QB,133,8.87
"Dustin Hopkins K • CLE",K,131,8.73
"Brandon McManus K • GB",K,130,7.65
"Travis Etienne RB • NO",RB,129,7.59
"Cowboys DST • DAL",DST,129,7.59
"Ravens DST • BAL",DST,128,7.53
"Chase McLaughlin K • TB",K,127,7.47
"Derrick Henry RB • BAL",RB,126,7.41
"Younghoe Koo K • NYJ",K,126,7.41
"Mike Evans WR • SF",WR,125,7.35
"Tyler Bass K • BUF",K,125,7.35
"Jake Moody K • WAS",K,125,7.35
"Evan McPherson K • CIN",K,125,7.35
"Greg Zuerlein K • NYJ",K,125,7.81
"Amon-Ra St. Brown WR • DET",WR,124,7.75
"Wil Lutz K • DEN",K,122,7.18
"Browns DST • CLE",DST,121,7.12
"Kirk Cousins QB • LV",QB,120,15.00
"David Montgomery RB • HOU",RB,120,8.57
"Nick Folk K • ATL",K,120,7.06
"Chris Boswell K • PIT",K,120,7.06
"Dolphins DST • MIA",DST,120,7.06
"Anders Carlson K • NYJ",K,118,6.94
"Jets DST • NYJ",DST,118,6.94
"Bills DST • BUF",DST,116,6.82
"Matt Prater K • BUF",K,115,6.76
"Breece Hall RB • NYJ",RB,114,6.71
"Deebo Samuel WR • WAS",WR,114,7.60
"Joe Mixon RB • HOU",RB,113,6.65
"Greg Joseph K • LV",K,112,6.59
"Daniel Carlson K • LV",K,111,6.53
"DJ Moore WR • BUF",WR,109,6.41
"Jake Browning QB • TB",QB,108,12.00
"Gus Edwards RB • LAC",RB,108,6.35
"Jahmyr Gibbs RB • DET",RB,107,7.13
"Ka'imi Fairbairn K • HOU",K,107,8.92
"De'Von Achane RB • MIA",RB,106,9.64
"Colts DST • IND",DST,105,6.18
"A.J. Brown WR • NE",WR,104,6.12
"Nico Collins WR • HOU",WR,104,6.93
"Raiders DST • LV",DST,104,6.12
"Joe Burrow QB • CIN",QB,103,10.30
"Rachaad White RB • WAS",RB,103,6.06
"Saquon Barkley RB • PHI",RB,101,7.21
"Bijan Robinson RB • ATL",RB,100,5.88
"Saints DST • NO",DST,100,5.88
"Brandon Aiyuk WR • SF",WR,99,6.19
"James Conner RB • ARI",RB,98,7.54
"Jordan Addison WR • MIN",WR,98,5.76
"Keenan Allen WR • LAC",WR,98,7.54
"49ers DST • SF",DST,98,5.76
"Kyler Murray QB • MIN",QB,97,12.12
"Puka Nacua WR • LAR",WR,97,5.71
"Eddy Pineiro K • SF",K,97,6.47
"Texans DST • HOU",DST,97,5.71
"Isiah Pacheco RB • DET",RB,96,6.86
"Stefon Diggs WR • NE",WR,96,5.65
"Chiefs DST • KC",DST,96,5.65
"Jerome Ford RB • WAS",RB,95,5.59
"Sam LaPorta TE • DET",TE,94,5.53
"Aidan O'Connell QB • LV",QB,93,8.45
"Joe Flacco QB • CIN",QB,93,18.60
"Bryce Young QB • CAR",QB,93,5.81
"Kenneth Walker III RB • KC",RB,93,6.20
"Ja'Marr Chase WR • CIN",WR,93,5.81
"Jaguars DST • JAC",DST,93,5.47
"Giants DST • NYG",DST,93,5.47
"Davante Adams WR • LAR",WR,92,5.41
"Joey Slye K • TEN",K,92,5.41
"Buccaneers DST • TB",DST,92,5.41
"Chargers DST • LAC",DST,92,5.41
"Brian Robinson Jr. RB • ATL",RB,91,6.07
"DK Metcalf WR • PIT",WR,91,5.69
"Calvin Ridley WR • TEN",WR,90,5.29
"Jakobi Meyers WR • JAC",WR,90,5.62
"Riley Patterson K • MIA",K,90,6.00
"Vikings DST • MIN",DST,90,5.29
"Courtland Sutton WR • DEN",WR,89,5.56
"Jayden Reed WR • GB",WR,89,5.56
"Broncos DST • DEN",DST,89,5.24
"Steelers DST • PIT",DST,88,5.18
"Seahawks DST • SEA",DST,87,5.12
"Najee Harris RB • LAC",RB,85,5.00
"James Cook RB • BUF",RB,85,5.00
"Amari Cooper WR • LV",WR,85,5.67
"Zach Wilson QB • NO",QB,84,7.00
"Packers DST • GB",DST,84,4.94
"Lions DST • DET",DST,84,4.94
"DeAndre Hopkins WR • BAL",WR,83,4.88
"George Pickens WR • DAL",WR,82,4.82
"Bengals DST • CIN",DST,82,4.82
"DeVonta Smith WR • PHI",WR,81,5.06
"Eagles DST • PHI",DST,81,4.76
"Alvin Kamara RB • NO",RB,78,6.00
"Patriots DST • NE",DST,78,4.59
"D'Andre Swift RB • CHI",RB,77,4.81
"Tony Pollard RB • TEN",RB,77,4.53
"Zack Moss RB • CIN",RB,77,5.50
"George Kittle TE • SF",TE,77,4.81
"Jonathan Taylor RB • IND",RB,76,7.60
"Justin Jefferson WR • MIN",WR,76,7.60
"Falcons DST • ATL",DST,76,4.47
"Will Levis QB • TEN",QB,75,8.33
"Mac Jones QB • SF",QB,75,6.82
"Chris Olave WR • NO",WR,74,4.62
"Gabe Davis WR • BUF",WR,74,4.35
"Rashee Rice WR • KC",WR,74,4.62
"Chad Ryland K • ARI",K,74,4.35
"Josh Jacobs RB • GB",RB,72,5.54
"Tank Dell WR • HOU",WR,72,6.55
"Michael Pittman WR • PIT",WR,72,4.50
"Bears DST • CHI",DST,71,4.18
"Terry McLaurin WR • WAS",WR,70,4.12
"Titans DST • TEN",DST,70,4.12
"Romeo Doubs WR • NE",WR,69,4.06
"Zay Flowers WR • BAL",WR,69,4.31
"Brandin Cooks WR • BUF",WR,68,4.25
"Rams DST • LAR",DST,67,3.94
"Lucas Havrisik K • GB",K,66,7.33
"Austin Ekeler RB • WAS",RB,65,4.64
"David Njoku TE • LAC",TE,65,4.06
"Kenny Pickett QB • CAR",QB,64,5.33
"Kareem Hunt RB • KC",RB,64,4.27
"Jaylen Waddle WR • DEN",WR,64,4.57
"T.J. Hockenson TE • MIN",TE,64,4.27
"Travis Kelce TE • KC",TE,64,4.27
"Panthers DST • CAR",DST,64,3.76
"Chuba Hubbard RB • CAR",RB,63,3.71
"Devin Singletary RB • NYG",RB,63,3.71
"Rashid Shaheed WR • SEA",WR,63,4.20
"Tyler Lockett WR • LV",WR,62,3.65
"Javonte Williams RB • DAL",RB,61,3.81
"Adam Thielen WR • PIT",WR,61,3.59
"Cooper Kupp WR • SEA",WR,61,5.08
"Deshaun Watson QB • CLE",QB,60,10.00
"Jaylen Warren RB • PIT",RB,60,3.53
"Chris Godwin WR • TB",WR,60,3.53
"Tommy DeVito QB • NE",QB,59,6.56
"Taysom Hill TE • NO",TE,59,3.69
"Commanders DST • WAS",DST,59,3.47
"Tyler Allgeier RB • ARI",RB,58,3.41
