Team,POS,Player,Salary,ELIG,Total FPTS,Active FPTS
"Munich Cowboys",RB,"Leonard Fournette RB •",70,RB,,
"Munich Cowboys",RB,"Jerick McKinnon RB • KC",39,RB,,
"Munich Cowboys",QB,"Deshaun Watson QB • CLE",33,QB,,
"Munich Cowboys",WR,"Michael Thomas WR • NO",57,WR,,
"Munich Cowboys",WR,"T.Y. Hilton WR •",41,WR,,
"Munich Cowboys",TE,"Evan Engram TE • DEN",9,TE,,
"Munich Cowboys",DST,"Rams DST • LAR",2,DST,,
"Munich Cowboys",RES,"Dion Lewis RB •",7,RB,,
"Munich Cowboys",WR,"Marquise Goodwin WR • CLE",20,WR,,
"Munich Cowboys",RES,"Carlos Hyde RB •",6,RB,,
"Munich Cowboys",RES,"Robbie Chosen WR • MIA",7,WR,,
"Munich Cowboys",K,"Jake Elliott K • PHI",1,K,,
"Munich Cowboys",RES,"Allen Hurns WR •",5,WR,,
"Munich Cowboys",RES,"David Njoku TE • CLE",1,TE,,
"Munich Cowboys",RES,"Geronimo Allison WR •",1,WR,,
"Munich Cowboys",RES,"Austin Ekeler RB • WAS",1,RB,,
"DONORA DRAGONS",RB,"Le'Veon Bell RB •",90,RB,,
"DONORA DRAGONS",QB,"Aaron Rodgers QB • NYJ",38,QB,,
"DONORA DRAGONS",WR,"Julio Jones WR •",65,WR,,
"DONORA DRAGONS",RB,"Jordan Howard RB •",44,RB,,
"DONORA DRAGONS",TE,"Zach Ertz TE • WAS",22,TE,,
"DONORA DRAGONS",RES,"Ben Roethlisberger QB •",10,QB,,
"DONORA DRAGONS",WR,"Corey Davis WR •",12,WR,,
"DONORA DRAGONS",WR,"Randall Cobb WR •",6,WR,,
"DONORA DRAGONS",DST,"Chargers DST • LAC",1,DST,,
"DONORA DRAGONS",K,"Matt Prater K • ARI",1,K,,
"DONORA DRAGONS",RES,"Ronald Jones RB •",1,RB,,
"DONORA DRAGONS",RES,"Kelvin Benjamin WR •",2,WR,,
"DONORA DRAGONS",RES,"James Conner RB • ARI",1,RB,,
"DONORA DRAGONS",RES,"Martavis Bryant WR • WAS",1,WR,,
"DONORA DRAGONS",RES,"Kenny Golladay WR •",2,WR,,
"DONORA DRAGONS",RES,"Duke Johnson RB •",4,RB,,
"MASTERS OF DISASTER",RB,"Todd Gurley RB •",97,RB,,
"MASTERS OF DISASTER",WR,"Antonio Brown WR • TB",85,WR,,
"MASTERS OF DISASTER",WR,"Stefon Diggs WR • NE",33,WR,,
"MASTERS OF DISASTER",RB,"Jay Ajayi RB •",15,RB,,
"MASTERS OF DISASTER",WR,"Adam Thielen WR • CAR",30,WR,,
"MASTERS OF DISASTER",RES,"Tevin Coleman RB •",6,RB,,
"MASTERS OF DISASTER",QB,"Eli Manning QB •",2,QB,,
"MASTERS OF DISASTER",RES,"Cooper Kupp WR • SEA",9,WR,,
"MASTERS OF DISASTER",DST,"Ravens DST • BAL",1,DST,,
"MASTERS OF DISASTER",RES,"Chris Thompson RB •",2,RB,,
"MASTERS OF DISASTER",TE,"Trey Burton TE •",3,TE,,
"MASTERS OF DISASTER",RES,"Emmanuel Sanders WR •",4,WR,,
"MASTERS OF DISASTER",K,"Wil Lutz K • DEN",1,K,,
"MASTERS OF DISASTER",RES,"Matthew Stafford QB • LAR",2,QB,,
"MASTERS OF DISASTER",RES,"Matt Ryan QB •",3,QB,,
"MASTERS OF DISASTER",RES,"Marlon Mack RB • ARI",2,RB,,
"LEEDS UNITED",RB,"Saquon Barkley RB • PHI",63,RB,,
"LEEDS UNITED",WR,"DeAndre Hopkins WR • BAL",73,WR,,
"LEEDS UNITED",RB,"LeSean McCoy RB •",29,RB,,
"LEEDS UNITED",WR,"Tyreek Hill WR • MIA",42,WR,,
"LEEDS UNITED",WR,"JuJu Smith-Schuster WR • KC",34,WR,,
"LEEDS UNITED",QB,"Andrew Luck QB •",10,QB,,
"LEEDS UNITED",RES,"Derrick Henry RB • BAL",21,RB,,
"LEEDS UNITED",RES,"Philip Rivers QB •",4,QB,,
"LEEDS UNITED",RES,"Robert Woods WR • PIT",7,WR,,
"LEEDS UNITED",K,"Matt Bryant K •",1,K,,
"LEEDS UNITED",TE,"Jack Doyle TE •",3,TE,,
"LEEDS UNITED",RES,"Pierre Garcon WR •",3,WR,,
"LEEDS UNITED",RES,"Jamison Crowder WR • WAS",7,WR,,
"LEEDS UNITED",DST,"Texans DST • HOU",1,DST,,
"LEEDS UNITED",RES,"Peyton Barber RB •",1,RB,,
"LEEDS UNITED",RES,"Tarik Cohen RB •",1,RB,,
"MY HATE FOR YOU, IT GROW",RB,"David Johnson RB •",80,RB,,
"MY HATE FOR YOU, IT GROW",K,"Stephen Gostkowski K •",1,K,,
"MY HATE FOR YOU, IT GROW",RB,"Dalvin Cook RB • DAL",67,RB,,
"MY HATE FOR YOU, IT GROW",WR,"Davante Adams WR • LAR",59,WR,,
"MY HATE FOR YOU, IT GROW",WR,"Sammy Watkins WR •",11,WR,,
"MY HATE FOR YOU, IT GROW",WR,"Mike Evans WR • TB",50,WR,,
"MY HATE FOR YOU, IT GROW",QB,"Patrick Mahomes QB • KC",6,QB,,
"MY HATE FOR YOU, IT GROW",RES,"Rex Burkhead RB •",10,RB,,
"MY HATE FOR YOU, IT GROW",RES,"Alex Smith QB •",2,QB,,
"MY HATE FOR YOU, IT GROW",DST,"Vikings DST • MIN",1,DST,,
"MY HATE FOR YOU, IT GROW",RES,"Nelson Agholor WR • BAL",1,WR,,
"MY HATE FOR YOU, IT GROW",TE,"Delanie Walker TE •",8,TE,,
"MY HATE FOR YOU, IT GROW",RES,"Corey Clement RB •",1,RB,,
"MY HATE FOR YOU, IT GROW",RES,"Josh Doctson WR •",1,WR,,
"MY HATE FOR YOU, IT GROW",RES,"Devontae Booker RB •",1,RB,,
"MY HATE FOR YOU, IT GROW",RES,"Frank Gore RB •",1,RB,,
"ROCK STARS",RB,"Ezekiel Elliott RB • LAC",92,RB,,
"ROCK STARS",QB,"Tom Brady QB •",24,QB,,
"ROCK STARS",WR,"Keenan Allen WR • CHI",55,WR,,
"ROCK STARS",TE,"Travis Kelce TE • KC",26,TE,,
"ROCK STARS",RB,"Lamar Miller RB •",21,RB,,
"ROCK STARS",DST,"Jaguars DST • JAC",5,DST,,
"ROCK STARS",RES,"Kenyan Drake RB •",22,RB,,
"ROCK STARS",WR,"Larry Fitzgerald WR •",14,WR,,
"ROCK STARS",RES,"Jamaal Williams RB • NO",9,RB,,
"ROCK STARS",RES,"Adrian Peterson RB •",7,RB,,
"ROCK STARS",RES,"Isaiah Crowell RB •",9,RB,,
"ROCK STARS",WR,"Kenny Stills WR •",6,WR,,
"ROCK STARS",RES,"Julian Edelman WR •",5,WR,,
"ROCK STARS",RES,"Marqise Lee WR •",2,WR,,
"ROCK STARS",RES,"Marcus Mariota QB • WAS",2,QB,,
"ROCK STARS",K,"Robbie Gould K •",1,K,,
"GENERALS",K,"Greg Zuerlein K • NYJ",3,K,,
"GENERALS",RB,"Christian McCaffrey RB • SF",48,RB,,
"GENERALS",QB,"Russell Wilson QB • NYG",22,QB,,
"GENERALS",RB,"Marshawn Lynch RB •",12,RB,,
"GENERALS",WR,"Amari Cooper WR • BUF",47,WR,,
"GENERALS",RES,"Royce Freeman RB • LAR",30,RB,,
"GENERALS",WR,"Doug Baldwin WR •",37,WR,,
"GENERALS",WR,"Brandin Cooks WR • NO",26,WR,,
"GENERALS",RES,"Kerryon Johnson RB •",12,RB,,
"GENERALS",RES,"Mark Ingram RB •",26,RB,,
"GENERALS",TE,"Kyle Rudolph TE •",9,TE,,
"GENERALS",RES,"Devin Funchess TE •",15,WR,,
"GENERALS",RES,"Doug Martin RB •",1,RB,,
"GENERALS",DST,"Saints DST • NO",1,DST,,
"GENERALS",RES,"Rishard Matthews WR •",1,WR,,
"GENERALS",RES,"DeVante Parker WR •",10,WR,,
"LA LOSERS",RB,"Kareem Hunt RB • KC",76,RB,,
"LA LOSERS",RB,"Melvin Gordon RB •",70,RB,,
"LA LOSERS",TE,"Rob Gronkowski TE •",61,TE,,
"LA LOSERS",WR,"Demaryius Thomas WR •",29,WR,,
"LA LOSERS",WR,"Golden Tate WR • TEN",12,WR,,
"LA LOSERS",WR,"Michael Crabtree WR •",11,WR,,
"LA LOSERS",QB,"Cam Newton QB •",19,QB,,
"LA LOSERS",DST,"Titans DST • TEN",1,DST,,
"LA LOSERS",RES,"Ted Ginn WR •",1,WR,,
"LA LOSERS",RES,"Sterling Shepard WR • TB",3,WR,,
"LA LOSERS",K,"Chris Boswell K • PIT",1,K,,
"LA LOSERS",RES,"Derek Carr QB • NO",1,QB,,
"LA LOSERS",RES,"Matt Breida RB • SF",1,RB,,
"LA LOSERS",RES,"Jordan Reed TE •",8,TE,,
"LA LOSERS",RES,"Chris Carson RB •",1,RB,,
"LA LOSERS",RES,"LeGarrette Blount RB •",1,RB,,
"EGYPTIAN MAGICIANS",WR,"Odell Beckham Jr. WR • MIA",74,WR,,
"EGYPTIAN MAGICIANS",RB,"Alvin Kamara RB • NO",75,RB,,
"EGYPTIAN MAGICIANS",RB,"Devonta Freeman RB •",49,RB,,
"EGYPTIAN MAGICIANS",WR,"Marvin Jones WR •",19,WR,,
