Player,POS,Total FPTS,Avg FPTS
"Josh Allen QB • BUF",QB,276,16.24
"Matthew Stafford QB • LAR",QB,275,16.18
"Trevor Lawrence QB • JAC",QB,248,14.59
"Drake Maye QB • NE",QB,242,14.24
"Dak Prescott QB • DAL",QB,232,13.65
"Jared Goff QB • DET",QB,223,13.12
"Jalen Hurts QB • PHI",QB,215,13.44
"Caleb Williams QB • CHI",QB,215,12.65
"Bo Nix QB • DEN",QB,210,12.35
"Patrick Mahomes QB • KC",QB,200,14.29
"Justin Herbert QB • LAC",QB,196,12.25
"Jonathan Taylor RB • IND",RB,194,11.41
"Baker Mayfield QB • TB",QB,186,10.94
"Sam Darnold QB • SEA",QB,181,10.65
"Jason Myers K • SEA",K,180,10.59
"Jahmyr Gibbs RB • DET",RB,178,10.47
"Christian McCaffrey RB • SF",RB,175,10.29
"Jaxson Dart QB • NYG",QB,170,12.14
"Ka'imi Fairbairn K • HOU",K,169,11.27
"Jacoby Brissett QB • ARI",QB,166,11.86
"Brandon Aubrey K • DAL",K,166,9.76
"Daniel Jones QB • IND",QB,165,12.69
"Derrick Henry RB • BAL",RB,163,9.59
"James Cook RB • BUF",RB,162,9.53
"Aaron Rodgers QB • PIT",QB,161,10.06
"Jordan Love QB • GB",QB,160,10.67
"Bijan Robinson RB • ATL",RB,158,9.29
"Bryce Young QB • CAR",QB,157,9.81
"Cameron Dicker K • LAC",K,153,9.00
"Cam Little K • JAC",K,148,8.71
"Lamar Jackson QB • BAL",QB,147,11.31
"C.J. Stroud QB • HOU",QB,145,10.36
"Will Reichard K • MIN",K,141,8.29
"De'Von Achane RB • MIA",RB,140,8.75
"Brock Purdy QB • SF",QB,139,15.44
"Chase McLaughlin K • TB",K,139,8.18
"Jake Bates K • DET",K,139,8.18
"Puka Nacua WR • LAR",WR,138,8.62
"Andres Borregales K • NE",K,138,8.12
"Jaxon Smith-Njigba WR • SEA",WR,137,8.06
"Tyler Loop K • BAL",K,135,7.94
"Harrison Butker K • KC",K,135,7.94
"Chris Boswell K • PIT",K,132,7.76
"Seahawks DST • SEA",DST,132,7.76
"Geno Smith QB • NYJ",QB,128,8.53
"Tua Tagovailoa QB • ATL",QB,127,9.07
"Wil Lutz K • DEN",K,127,7.47
"Travis Etienne RB • NO",RB,125,7.35
"Cam Ward QB • TEN",QB,124,7.29
"Kyren Williams RB • LAR",RB,124,7.29
"Eddy Pineiro K • SF",K,124,8.86
"Josh Jacobs RB • GB",RB,122,8.13
"Javonte Williams RB • DAL",RB,122,7.62
"Evan McPherson K • CIN",K,121,7.12
"Blake Grupe K • IND",K,119,7.44
"Joey Slye K • TEN",K,119,7.44
"Amon-Ra St. Brown WR • DET",WR,118,6.94
"Cairo Santos K • CHI",K,118,7.87
"Riley Patterson K • MIA",K,118,6.94
"Chad Ryland K • ARI",K,117,6.88
"Davante Adams WR • LAR",WR,114,8.14
"Texans DST • HOU",DST,114,6.71
"Joe Flacco QB • CIN",QB,113,8.69
"Chase Brown RB • CIN",RB,113,6.65
"George Pickens WR • DAL",WR,113,6.65
"Nick Folk K • ATL",K,113,7.06
"Broncos DST • DEN",DST,113,6.65
"Trey McBride TE • ARI",TE,112,6.59
"Saquon Barkley RB • PHI",RB,109,6.81
"Ashton Jeanty RB • LV",RB,108,6.35
"Browns DST • CLE",DST,108,6.35
"Tyler Shough QB • NO",QB,107,9.73
"Brandon McManus K • GB",K,107,7.64
"D'Andre Swift RB • CHI",RB,106,6.62
"Ja'Marr Chase WR • CIN",WR,106,6.62
"Jake Elliott K • PHI",K,105,6.18
"TreVeyon Henderson RB • NE",RB,103,6.06
"Jaguars DST • JAC",DST,103,6.06
"Andre Szmyt K • CLE",K,102,6.00
"Vikings DST • MIN",DST,102,6.00
"Tee Higgins WR • CIN",WR,101,6.73
"Ryan Fitzgerald K • CAR",K,101,5.94
"Matt Prater K • BUF",K,101,6.73
"Joe Burrow QB • CIN",QB,98,12.25
"J.J. McCarthy QB • MIN",QB,98,9.80
"RJ Harvey RB • DEN",RB,98,5.76
"Chris Olave WR • NO",WR,97,6.06
"Eagles DST • PHI",DST,97,5.71
"Rams DST • LAR",DST,97,5.71
"Zach Charbonnet RB • SEA",RB,96,6.00
"Falcons DST • ATL",DST,96,5.65
"Steelers DST • PIT",DST,95,5.59
"Justin Fields QB • KC",QB,94,10.44
"Mac Jones QB • SF",QB,92,8.36
"Daniel Carlson K • LV",K,92,5.41
"Saints DST • NO",DST,92,5.41
"Jaylen Warren RB • PIT",RB,91,5.69
"Nico Collins WR • HOU",WR,91,6.07
"Rico Dowdle RB • PIT",RB,88,5.18
"Bills DST • BUF",DST,87,5.12
"Rhamondre Stevenson RB • NE",RB,86,6.14
"Breece Hall RB • NYJ",RB,85,5.31
"Jameson Williams WR • DET",WR,85,5.00
"Patriots DST • NE",DST,85,5.00
"Lions DST • DET",DST,85,5.00
"Bears DST • CHI",DST,85,5.00
"Marcus Mariota QB • WAS",QB,83,7.55
"Zay Flowers WR • BAL",WR,83,4.88
"Dallas Goedert TE • PHI",TE,83,5.53
"Chargers DST • LAC",DST,83,4.88
"Buccaneers DST • TB",DST,83,4.88
"Drake London WR • ATL",WR,81,6.75
"Zane Gonzalez K • MIA",K,81,9.00
"Matt Gay K • LV",K,81,6.75
"A.J. Brown WR • NE",WR,80,5.33
"Courtland Sutton WR • DEN",WR,80,4.71
"Jacory Croskey-Merritt RB • WAS",RB,79,4.65
"Michael Wilson WR • ARI",WR,79,4.65
"Panthers DST • CAR",DST,79,4.65
"Michael Penix Jr. QB • ATL",QB,78,8.67
"Tetairoa McMillan WR • CAR",WR,78,4.59
"Quinshon Judkins RB • CLE",RB,77,5.50
"David Montgomery RB • HOU",RB,77,4.53
"Kenneth Gainwell RB • TB",RB,77,4.53
"Ravens DST • BAL",DST,77,4.53
"Harrison Mevis K • LAR",K,76,8.44
"Jauan Jennings WR • MIN",WR,75,5.00
"Colts DST • IND",DST,75,4.41
"Titans DST • TEN",DST,75,4.41
"Quentin Johnston WR • LAC",WR,74,5.29
"Jake Moody K • WAS",K,74,8.22
"Kirk Cousins QB • LV",QB,73,7.30
"Kenneth Walker III RB • KC",RB,73,4.29
"DK Metcalf WR • PIT",WR,73,4.87
"Alec Pierce WR • IND",WR,73,4.87
"Chiefs DST • KC",DST,73,4.29
"Kareem Hunt RB • KC",RB,72,4.24
"Emeka Egbuka WR • TB",WR,72,4.24
"Parker Washington WR • JAC",WR,72,4.50
"Jayden Daniels QB • WAS",QB,71,10.14
"Tony Pollard RB • TEN",RB,71,4.18
"Jaylen Waddle WR • DEN",WR,70,4.38
"Michael Pittman WR • PIT",WR,68,4.00
"Brock Bowers TE • LV",TE,68,5.67
"Jake Ferguson TE • DAL",TE,67,3.94
"Dolphins DST • MIA",DST,67,3.94
"Commanders DST • WAS",DST,67,3.94
"Giants DST • NYG",DST,66,3.88
"Bengals DST • CIN",DST,66,3.88
"Woody Marks RB • HOU",RB,65,4.06
"DJ Moore WR • BUF",WR,65,3.82
"Hunter Henry TE • NE",TE,65,3.82
"George Kittle TE • SF",TE,64,5.82
"Harold Fannin Jr. TE • CLE",TE,64,4.00
"Tyler Allgeier RB • ARI",RB,63,3.71
"CeeDee Lamb WR • DAL",WR,63,4.50
"Packers DST • GB",DST,63,3.71
"Sean Tucker RB • TB",RB,62,3.65
"Kyle Monangai RB • CHI",RB,62,3.65
"Troy Franklin WR • DEN",WR,62,3.65
"Stefon Diggs WR • NE",WR,62,3.65
"Raiders DST • LV",DST,62,3.65
"Cardinals DST • ARI",DST,62,3.65
"Shedeur Sanders QB • CLE",QB,61,7.62
"Cam Skattebo RB • NYG",RB,61,7.62
"Jordan Mason RB • MIN",RB,61,3.81
"DeVonta Smith WR • PHI",WR,61,3.59
"Ladd McConkey WR • LAC",WR,61,3.81
"Blake Corum RB • LAR",RB,60,3.53
"Rome Odunze WR • CHI",WR,60,5.00
"Wan'Dale Robinson WR • TEN",WR,60,3.75
"Romeo Doubs WR • NE",WR,60,3.75
"Christian Watson WR • GB",WR,60,6.00
"Colston Loveland TE • CHI",TE,60,3.75
"Kyle Pitts TE • ATL",TE,60,3.53
"Colby Parkinson TE • LAR",TE,59,3.93
"Spencer Rattler QB • NO",QB,58,6.44
"Rashee Rice WR • KC",WR,58,7.25
"Cowboys DST • DAL",DST,58,3.41
"Deebo Samuel WR • WAS",WR,57,3.56
"Travis Kelce TE • KC",TE,57,3.35
"Omarion Hampton RB • LAC",RB,55,6.11
"AJ Barner TE • SEA",TE,55,3.24
"Mike Badgley K • BUF",K,55,6.11
"J.K. Dobbins RB • DEN",K,54,5.40
"Tyrone Tracy Jr. RB • NYG",RB,54,3.60
"Tyler Warren TE • IND",TE,54,3.18
"Joshua Karty K • ARI",K,54,6.75
"Spencer Shrader K • IND",K,54,10.80
